app_num	app_date	coapp_f_name	coapp_l_name	a_email	a_email	a_f_name	a_l_name	a_street_addr	a_city	a_state	a_postal_code	a_phone	is_approved	is_rejected
1	2019-01-01	Casie	Comnick	hcallaro@cancity.com	hcallaro@cancity.com	Helga	Callaro	7628 7-street	Greensboro	NJ	04569	4556917286	1	0
2	2019-01-01	Selma	Maclead	fdelasancha@inity.com	fdelasancha@inity.com	France	Delasancha	2862 12-street	Newark	TX	66783	2275019405	1	0
3	2019-01-01	Kristeen	Acey	amiceli@blackzim.com	amiceli@blackzim.com	An	Miceli	6950 8-street	Durham	WI	63410	0212506214	0	1
4	2019-01-02	Nana	Tollner	jblackwood@dambase.com	jblackwood@dambase.com	Judy	Blackwood	6777 15-street	Oakland	MN	61777	0974760756	1	0
5	2019-01-02	Avery	Klusman	brhym@dambase.com	brhym@dambase.com	Buddy	Rhym	6822 11-street	Colorado Springs	NE	48984	1763305209	0	1
6	2019-01-02	Quentin	Loader	acoyier@hottechi.com	acoyier@hottechi.com	Annmarie	Coyier	1379 17-street	Mesa	VA	98743	3406432705	1	0
7	2019-01-03			lhamilton@labdrill.com	lhamilton@labdrill.com	Lai	Hamilton	2726 13-street	Irving	AZ	69986	4670203056	1	0
8	2019-01-03	Mona	Deleo	lmorocco@year-job.com	lmorocco@year-job.com	Lorrie	Morocco	2629 1-street	Baltimore	OK	27365	0428043150	0	1
9	2019-01-03	Yuki	Vonasek	mstem@betasoloin.com	mstem@betasoloin.com	Margart	Stem	9062 18-street	Hialeah	NV	76455	3730603927	0	1
10	2019-01-04	Kaitlyn	Klimek	mhollack@scottech.com	mhollack@scottech.com	Mozell	Hollack	321 12-street	Plano	NV	99069	2812000053	1	0
11	2019-01-07	Raylene	Blackwood	rgarufi@bioplex.com	rgarufi@bioplex.com	Regenia	Garufi	8020 6-street	Kansas City	AZ	14901	2817952195	1	0
12	2019-01-07	Nieves	Batman	lkarpel@nam-zim.com	lkarpel@nam-zim.com	Lorrine	Karpel	3646 19-street	Miami	CA	45960	3417123913	0	1
13	2019-01-07	Matthew	Rauser	kharnos@conecom.com	kharnos@conecom.com	Kanisha	Harnos	1343 15-street	Chesapeake	AZ	75142	5651564822	0	1
14	2019-01-08	Lizette	Witten	ltheodorov@opentech.com	ltheodorov@opentech.com	Louvenia	Theodorov	6164 5-street	Irving	AZ	65641	7817467627	0	1
15	2019-01-08	Roosevelt	Springe	gkines@inity.com	gkines@inity.com	Gearldine	Kines	9024 7-street	St. Petersburg	AZ	54656	8292555533	1	0
16	2019-01-08	Delisa	Keetch	amiceli@blackzim.com	amiceli@blackzim.com	An	Miceli	6950 8-street	Durham	WI	63410	0212506214	1	0
17	2019-01-09	Ammie	Heintzman	cscipione@kan-code.com	cscipione@kan-code.com	Cecily	Scipione	4492 21-street	Albuquerque	AZ	84625	6166913095	1	0
18	2019-01-09	Lashaunda	Paulas	lmorocco@year-job.com	lmorocco@year-job.com	Lorrie	Morocco	2629 1-street	Baltimore	OK	27365	0428043150	1	0
19	2019-01-09	Thaddeus	Caudy	lmunns@toughzap.com	lmunns@toughzap.com	Lettie	Munns	3948 1-street	Oakland	MN	80297	0642648839	0	1
20	2019-01-10	Evangelina	Crupi	jrestrepo@konmatfix.com	jrestrepo@konmatfix.com	Jettie	Restrepo	8358 20-street	Baton Rouge	TX	98180	2580479634	1	0
21	2019-01-10			jlueckenbach@plussunin.com	jlueckenbach@plussunin.com	Jani	Lueckenbach	8220 17-street	Fort Wayne	FL	16818	0835309870	1	0
22	2019-01-10	Serina	Jurney	aostolaza@finjob.com	aostolaza@finjob.com	Alecia	Ostolaza	781 15-street	Phoenix	AZ	81617	6965596189	0	1
23	2019-01-11			ggalam@ron-tech.com	ggalam@ron-tech.com	Glen	Galam	1051 20-street	Omaha	NC	70245	6803773336	1	0
24	2019-01-14	Leonora	Coyier	dkines@betatech.com	dkines@betatech.com	Dorthy	Kines	9057 19-street	Sacramento	CA	75064	9497063223	1	0
25	2019-01-14	Virgina	Perin	kcraghead@sumace.com	kcraghead@sumace.com	Kayleigh	Craghead	5350 6-street	Denver	CO	22151	2945618913	1	0
26	2019-01-15	Melissa	Vanheusen	dgellinger@dambase.com	dgellinger@dambase.com	Devora	Gellinger	3711 13-street	Corpus Christi	KY	03268	8628090963	1	0
27	2019-01-16			hmenter@doncon.com	hmenter@doncon.com	Hillary	Menter	3773 11-street	Hialeah	NV	25516	5879884007	1	0
28	2019-01-17			bmastella@kan-code.com	bmastella@kan-code.com	Brittni	Mastella	1142 11-street	Virginia Beach	GA	86605	3703831645	0	1
29	2019-01-17	Vilma	Marrier	snicka@year-job.com	snicka@year-job.com	Shonda	Nicka	8687 19-street	Louisville/Jefferson County	OR	24281	2134076388	1	0
30	2019-01-17	Willard	Albares	cpugh@domzoom.com	cpugh@domzoom.com	Carmela	Pugh	647 9-street	Oklahoma City	KY	85065	1757054248	1	0
31	2019-01-17	Lezlie	Steffensmeier	cscipione@kan-code.com	cscipione@kan-code.com	Cecily	Scipione	4492 21-street	Albuquerque	AZ	84625	6166913095	1	0
32	2019-01-18	Devora	Meinerding	jspickerman@y-corporation.com	jspickerman@y-corporation.com	Joseph	Spickerman	3992 8-street	Anaheim	CA	87162	0631902612	1	0
33	2019-01-18			cpagliuca@betasoloin.com	cpagliuca@betasoloin.com	Catarina	Pagliuca	2537 18-street	Chesapeake	AZ	39058	4285698314	1	0
34	2019-01-21	Janine	Cetta	cpaulas@opentech.com	cpaulas@opentech.com	Carlee	Paulas	6751 6-street	St. Louis	CA	40354	7399274620	1	0
35	2019-01-21	Tamar	Lawler	troyster@kan-code.com	troyster@kan-code.com	Ty	Royster	6993 11-street	Jersey City	CA	67631	7809866690	1	0
36	2019-01-22	Mirta	Yglesias	ahoogland@doncon.com	ahoogland@doncon.com	Alex	Hoogland	255 12-street	Chula Vista	IN	57009	4387341818	1	0
37	2019-01-22	Dorothy	Frerking	mhollack@scottech.com	mhollack@scottech.com	Mozell	Hollack	321 12-street	Plano	NV	99069	2812000053	1	0
38	2019-01-23			ebowley@ganjaflex.com	ebowley@ganjaflex.com	Ernie	Bowley	3121 12-street	Plano	NV	03558	9407037638	0	1
39	2019-01-23	Izetta	Myricks	eperigo@plussunin.com	eperigo@plussunin.com	Eladia	Perigo	6759 16-street	Jersey City	CA	50660	1059814975	1	0
40	2019-01-23	Felix	Kitty	estenseth@cancity.com	estenseth@cancity.com	Erinn	Stenseth	6364 14-street	Lubbock	CA	12415	5878076341	1	0
41	2019-01-23			kharnos@conecom.com	kharnos@conecom.com	Kanisha	Harnos	1343 15-street	Chesapeake	AZ	75142	5651564822	1	0
42	2019-01-24	Jennifer	Saylors	cpugh@domzoom.com	cpugh@domzoom.com	Carmela	Pugh	647 9-street	Oklahoma City	KY	85065	1757054248	1	0
43	2019-01-24	Delisa	Abdallah	msarao@newex.com	msarao@newex.com	Maurine	Sarao	1334 7-street	Arlington	LA	95129	4568765994	0	1
44	2019-01-24			afigeroa@labdrill.com	afigeroa@labdrill.com	Alpha	Figeroa	812 21-street	Garland	FL	55207	6572550852	1	0
45	2019-01-25	Wynell	Candlish	hcallaro@cancity.com	hcallaro@cancity.com	Helga	Callaro	7628 7-street	Greensboro	NJ	04569	4556917286	1	0
46	2019-01-25	Britt	Rhym	jblackwood@dambase.com	jblackwood@dambase.com	Judy	Blackwood	6777 15-street	Oakland	MN	61777	0974760756	0	1
47	2019-01-25	Lavonna	Nicolozakes	ajuvera@groovestreet.com	ajuvera@groovestreet.com	Amie	Juvera	7335 9-street	Austin	TX	52943	6883841586	0	1
48	2019-01-25	Bette	Nachor	ebowley@ganjaflex.com	ebowley@ganjaflex.com	Ernie	Bowley	3121 12-street	Plano	NV	03558	9407037638	1	0
49	2019-01-28			estenseth@cancity.com	estenseth@cancity.com	Erinn	Stenseth	6364 14-street	Lubbock	CA	12415	5878076341	1	0
50	2019-01-28	Kris	Pedrozo	esaylors@y-corporation.com	esaylors@y-corporation.com	Evangelina	Saylors	714 1-street	Sacramento	CA	17261	0167588959	1	0
51	2019-01-28	An	Dhamer	kweglarz@streethex.com	kweglarz@streethex.com	Kayleigh	Weglarz	9715 16-street	Kansas City	AZ	98923	0776708535	1	0
52	2019-01-29	Leonora	Motley	hseewald@j-texon.com	hseewald@j-texon.com	Helga	Seewald	4606 15-street	Colorado Springs	NE	66599	1110994610	0	1
53	2019-01-29	Howard	Lipke	lpadilla@conecom.com	lpadilla@conecom.com	Leota	Padilla	6301 14-street	Wichita	TX	78386	6956904911	1	0
54	2019-01-30			ccoody@sonron.com	ccoody@sonron.com	Carissa	Coody	2335 7-street	Memphis	TN	49402	8809306211	1	0
55	2019-01-30	Jeanice	Heintzman	lwalthall@betasoloin.com	lwalthall@betasoloin.com	Laurel	Walthall	3863 8-street	Charlotte	NC	18095	5336512883	1	0
56	2019-01-31	Daren	Montezuma	elary@lexiqvolax.com	elary@lexiqvolax.com	Erick	Lary	6988 17-street	Buffalo	NJ	51772	1316212290	1	0
